Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
02/26,BR,Brazil,AMRO,1,1,0,0
02/27,BR,Brazil,AMRO,0,1,0,0
02/28,BR,Brazil,AMRO,0,1,0,0
02/29,BR,Brazil,AMRO,0,1,0,0
03/01,BR,Brazil,AMRO,1,2,0,0
03/02,BR,Brazil,AMRO,0,2,0,0
03/03,BR,Brazil,AMRO,0,2,0,0
03/04,BR,Brazil,AMRO,1,3,0,0
03/05,BR,Brazil,AMRO,4,7,0,0
03/06,BR,Brazil,AMRO,1,8,0,0
03/07,BR,Brazil,AMRO,11,19,0,0
03/08,BR,Brazil,AMRO,0,19,0,0
03/09,BR,Brazil,AMRO,6,25,0,0
03/10,BR,Brazil,AMRO,0,25,0,0
03/11,BR,Brazil,AMRO,9,34,0,0
03/12,BR,Brazil,AMRO,18,52,0,0
03/13,BR,Brazil,AMRO,46,98,0,0
03/14,BR,Brazil,AMRO,23,121,0,0
03/15,BR,Brazil,AMRO,0,121,0,0
03/16,BR,Brazil,AMRO,79,200,0,0
03/17,BR,Brazil,AMRO,34,234,0,0
03/18,BR,Brazil,AMRO,57,291,1,1
03/19,BR,Brazil,AMRO,137,428,3,4
03/20,BR,Brazil,AMRO,193,621,0,4
03/21,BR,Brazil,AMRO,283,904,7,11
03/22,BR,Brazil,AMRO,0,904,0,11
03/23,BR,Brazil,AMRO,0,904,0,11
03/24,BR,Brazil,AMRO,1297,2201,35,46
03/25,BR,Brazil,AMRO,0,2201,0,46
03/26,BR,Brazil,AMRO,232,2433,11,57
03/27,BR,Brazil,AMRO,0,2433,0,57
03/28,BR,Brazil,AMRO,482,2915,20,77
03/29,BR,Brazil,AMRO,502,3417,15,92
03/30,BR,Brazil,AMRO,487,3904,22,114
03/31,BR,Brazil,AMRO,352,4256,22,136
04/01,BR,Brazil,AMRO,323,4579,23,159
04/02,BR,Brazil,AMRO,1138,5717,42,201
04/03,BR,Brazil,AMRO,1119,6836,40,241
04/04,BR,Brazil,AMRO,1074,7910,58,299
04/05,BR,Brazil,AMRO,1146,9056,60,359
04/06,BR,Brazil,AMRO,1222,10278,73,432
04/07,BR,Brazil,AMRO,852,11130,54,486
04/08,BR,Brazil,AMRO,926,12056,67,553
04/09,BR,Brazil,AMRO,1661,13717,114,667
04/10,BR,Brazil,AMRO,2210,15927,133,800
04/11,BR,Brazil,AMRO,1930,17857,141,941
04/12,BR,Brazil,AMRO,1781,19638,115,1056
04/13,BR,Brazil,AMRO,1089,20727,68,1124
04/14,BR,Brazil,AMRO,1442,22169,99,1223
04/15,BR,Brazil,AMRO,1261,23430,105,1328
04/16,BR,Brazil,AMRO,1832,25262,204,1532
04/17,BR,Brazil,AMRO,3058,28320,204,1736
04/18,BR,Brazil,AMRO,2105,30425,188,1924
04/19,BR,Brazil,AMRO,3257,33682,217,2141
04/20,BR,Brazil,AMRO,2917,36599,206,2347
04/21,BR,Brazil,AMRO,2055,38654,115,2462
04/22,BR,Brazil,AMRO,1927,40581,113,2575
04/23,BR,Brazil,AMRO,2498,43079,166,2741
04/24,BR,Brazil,AMRO,2678,45757,165,2906
04/25,BR,Brazil,AMRO,3735,49492,407,3313
04/26,BR,Brazil,AMRO,3503,52995,357,3670
04/27,BR,Brazil,AMRO,5514,58509,346,4016
04/28,BR,Brazil,AMRO,3379,61888,189,4205
04/29,BR,Brazil,AMRO,4613,66501,338,4543
04/30,BR,Brazil,AMRO,5385,71886,474,5017
05/01,BR,Brazil,AMRO,6276,78162,449,5466
05/02,BR,Brazil,AMRO,7218,85380,435,5901
05/03,BR,Brazil,AMRO,6209,91589,428,6329
05/04,BR,Brazil,AMRO,4970,96559,421,6750
05/05,BR,Brazil,AMRO,4588,101147,275,7025
05/06,BR,Brazil,AMRO,6633,107780,296,7321
05/07,BR,Brazil,AMRO,6935,114715,600,7921
05/08,BR,Brazil,AMRO,10503,125218,615,8536
05/09,BR,Brazil,AMRO,9888,135106,610,9146
05/10,BR,Brazil,AMRO,10222,145328,751,9897
05/11,BR,Brazil,AMRO,10611,155939,730,10627
05/12,BR,Brazil,AMRO,6760,162699,496,11123
05/13,BR,Brazil,AMRO,5632,168331,396,11519
05/14,BR,Brazil,AMRO,9258,177589,881,12400
05/15,BR,Brazil,AMRO,11385,188974,749,13149
05/16,BR,Brazil,AMRO,13944,202918,844,13993
05/17,BR,Brazil,AMRO,15305,218223,824,14817
05/18,BR,Brazil,AMRO,14919,233142,816,15633
05/19,BR,Brazil,AMRO,7938,241080,485,16118
05/20,BR,Brazil,AMRO,13140,254220,674,16792
05/21,BR,Brazil,AMRO,17408,271628,1179,17971
05/22,BR,Brazil,AMRO,19951,291579,888,18859
05/23,BR,Brazil,AMRO,18508,310087,1188,20047
05/24,BR,Brazil,AMRO,20803,330890,1001,21048
05/25,BR,Brazil,AMRO,16508,347398,965,22013
05/26,BR,Brazil,AMRO,15813,363211,653,22666
05/27,BR,Brazil,AMRO,11687,374898,807,23473
05/28,BR,Brazil,AMRO,16324,391222,1039,24512
05/29,BR,Brazil,AMRO,20599,411821,1086,
05/30,BR,Brazil,AMRO,26417,438238,1156,26754
05/31,BR,Brazil,AMRO,26928,465166,1124,27878
06/01,BR,Brazil,AMRO,33274,498440,956,28834
06/02,BR,Brazil,AMRO,16409,514849,480,29314
06/03,BR,Brazil,AMRO,11598,526447,623,29937
06/04,BR,Brazil,AMRO,28936,555383,1262,31199
06/05,BR,Brazil,AMRO,28633,584016,1349,32548
06/06,BR,Brazil,AMRO,30925,614941,1473,34021
06/07,BR,Brazil,AMRO,30830,645771,1005,
06/08,BR,Brazil,AMRO,27075,672846,904,35930
06/09,BR,Brazil,AMRO,18912,691758,525,36455
